png 1920 1080 hw2loadmv.png
xyz -0.6483050912237132 -0.7935045596818346 0.7886711875252981
xyz -0.33326884224672093 0.08791273747687667 0.09313229787642241
xyz -0.8904425590593481 -0.6428968744600179 0.24330028228879796
loadmv  0.6806362064292861 0.16355288687573832 -0.8392919344691974 0.6055660725546725  -0.21637034803961153 0.9277194090232581 -0.16786991448115107 0.972854935535016  -0.5464622098810652 -0.8380143310780213 -0.4096598882913256 0.7397703133443139  0 0 0 1
trif 1 2 3
color 0.08237009530995842 0.5565787779143777 0.39318119873554314
xyz 0.5517680573848314 -0.7659370845745721 0.9109664412012466
xyz 0.16724466488687373 -0.5059293608044222 -0.1301252569019289
xyz 0.01400551870032185 -0.18122547714940418 -0.11588944548330216
loadmv  -0.6696083061895475 -0.0034895303628961205 0.9748429547161248 0.1973475998847236  0.7148540245772721 -0.7726880566849126 -0.5183713314079819 0.6573646433501821  0.04902866201437939 -0.2760240265120475 0.5428038954901733 -0.7325544308302934  0 0 0 1
trif 1 2 3
trif 4 5 6
color 0.5200281783052683 0.5375118449298563 0.142429514827217
xyz 0.15278887029470645 0.24549427654683065 0.5681622623337561
xyz 0.09185300886791525 0.08689764997745897 -0.01042991276375016
xyz 0.1373136952334726 0.5575861757619678 0.495660543664894
loadmv  0.3095766856769038 0.3435697102954751 -0.05073851784610084 0.20737323967132038  -0.8776526470650368 0.7827617158187374 -0.48462373716235074 0.741933119760608  0.029579752332323128 -0.8243407449388382 -0.31155904493479447 0.41676637996040133  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
color 0.986190722084182 0.920457905375033 0.8161466578067048
xyz -0.24020954762073266 0.9350573571423348 0.2575609348862171
xyz 0.061107582879896594 -0.9581544817098904 -0.6695254536537887
xyz -0.4567066977643406 -0.8474986915819767 -0.7471207429292679
loadmv  -0.976316567864334 -0.3006266303164571 -0.2431677320280985 -0.02613867553385707  -0.20287798948871316 -0.2335028326173949 0.5418271923442626 -0.46504169820875885  -0.4470883734242974 -0.4719924606992647 0.946448984493131 0.05809163088515734  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
color 0.09377509824467134 0.248999059239852 0.9043306335642853
xyz -0.7043161125255188 0.8678181017244435 -0.6592881724392103
xyz -0.36809843596818426 0.5781898858599286 0.032458610634384266
xyz -0.5620945069839043 0.4985095012496077 -0.35012307098561823
loadmv  0.5242387338336603 -0.187543003203263 0.07232361061530468 -0.19221073572059177  -0.9242004344146988 0.9933304512564558 0.6985669795305645 0.05735897933003642  0.6512330437620601 -0.736407988405057 -0.17566514178084636 0.713264824850421  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
color 0.9609188794773955 0.20367701701531948 0.63145876448106
xyz 0.5426483019273949 -0.0024484656663545934 -0.14828332429001212
xyz -0.4369091047951028 -0.0894700902081742 0.6551359949220015
xyz -0.2115335937198417 0.3384484827467704 0.19685781813132386
loadmv  -0.07343856502449109 0.8049985352301092 -0.21332467762680185 -0.2295039401446448  -0.08091510629974641 -0.7734685667017909 0.29414763678276623 0.0253237661763841  -0.4953384416495792 -0.30557010698467946 -0.5652655020351791 0.2346792023796649  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
color 0.5747632749377135 0.8948746295930382 0.8452445083463762
xyz -0.8674655524461188 -0.4364775734758919 0.8111649160050853
xyz 0.7813334195309201 -0.44647345821217166 -0.7462778862499231
xyz -0.9864431869455232 -0.6193238316125556 -0.1486435729518003
loadmv  0.875708179341544 0.7559300067722359 -0.0806217485976286 0.13911484897566329  -0.2741272070263514 0.8159218528407317 0.9019957774112903 -0.4777958313305579  -0.7245066935578057 -0.904190221675145 -0.6421150542980771 0.01032140028266304  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
color 0.9266266332310299 0.7956066171841941 0.38063720905899723
xyz 0.1098384313733225 -0.9087733705775012 -0.4545871222514435
xyz 0.1480715851223391 -0.2573424911796638 0.682592532728493
xyz 0.44888511361474714 -0.5983850609387174 0.936473931369104
loadmv  0.6867135400654898 -0.4004815907404786 -0.41041465760549123 0.08074823377652063  0.3210695004616779 -0.09870629308314816 -0.4017671927699693 0.23538029458635568  -0.18881191219149351 0.11719049255086911 -0.46715010012415936 0.646522429833069  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
color 0.7635598758919476 0.8297599883947969 0.8345572728492071
xyz -0.277197748232171 0.9040401387867794 0.3945191638896812
xyz 0.5702229806922341 0.31873459100681556 -0.08518426688626057
xyz 0.457657997678129 0.9978705232005554 -0.08872803371416205
loadmv  0.454319939977075 -0.9637632991112053 -0.9237707906429591 -0.018481829710408793  0.10992339450375255 0.8391265129525081 -0.15301902231208708 0.17817329869105136  -0.13584770020104564 0.2207367048025719 -0.9926637717979094 0.19692783968998562  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
color 0.7227434808481873 0.5600001047683322 0.8822511112558998
xyz -0.9274804316800433 -0.01202293768303453 -0.4297151197126923
xyz -0.28327239394264847 -0.7789604949828912 -0.34680945077232894
xyz 0.7239884688774223 0.3916600962226999 -0.6947621669980464
loadmv  -0.24293753555980402 0.9254706281129694 0.661413789776711 -0.19556798847269663  0.4425121973122599 0.009764964107630947 -0.16475997023913025 0.5467749766690551  -0.6379939659601854 -0.8782879109870736 0.1684755280395167 -0.8689529016257287  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
color 0.23334022609379634 0.539696254334455 0.7499739158652191
xyz -0.6140795622638495 0.4164101729525913 -0.9145510291088446
xyz -0.7640008757041479 -0.9322196051180447 0.2646787732503102
xyz -0.52983675871289 -0.7343842529788753 0.7838855891853898
